NAME:,DLC:,COVENANT:,DIFFICULTY:
Ancient King's Mask,FALSE,FALSE,1
Assassin's Mask,FALSE,FALSE,1
Binded Hood,FALSE,FALSE,1
Brushwood Helm,FALSE,FALSE,1
Mail Coif,FALSE,FALSE,1
Dark Silver Helmet,FALSE,FALSE,1
Dull Gold Helmet,FALSE,FALSE,1
Iron Helmet,FALSE,FALSE,1
Gloom Helm,FALSE,FALSE,1
Gold Mask,FALSE,FALSE,1
Leather Cap,FALSE,FALSE,1
Mirdan Helmet,FALSE,FALSE,1
Monk's Head Collar,FALSE,FALSE,1
Official's Cap,FALSE,FALSE,1
Plate Helmet,FALSE,FALSE,1
Silver Coronet,FALSE,FALSE,1
Three Cornered Hat,FALSE,FALSE,1
Venerable Sage's Hood,FALSE,FALSE,1
Red-Eye Knight Helmet,TRUE,FALSE,1
Imperial Spy Hood,FALSE,FALSE,1
Fluted Helm,FALSE,FALSE,1
Blue-Eye Knight Helm,FALSE,FALSE,1
Penetrator's Helmet,FALSE,FALSE,1
Ancient King's Breastplate,FALSE,FALSE,1
Barbarian Clothes,FALSE,FALSE,1
Binded Cross,FALSE,FALSE,1
Black Leather Garb,FALSE,FALSE,1
Boletarian Royality Clothes,TRUE,FALSE,1
Brushwood Armor,FALSE,FALSE,1
Chain Mail,FALSE,FALSE,1
Coat of Plates,FALSE,FALSE,1
Dark Silver Armor,FALSE,FALSE,1
Dull Gold Armor,FALSE,FALSE,1
Fluted Armor,FALSE,FALSE,1
Gloom Armor,FALSE,FALSE,1
Leather Armor,FALSE,FALSE,1
Mirdan Scale Armor,FALSE,FALSE,1
Old Raggedy Robes,FALSE,FALSE,1
Red-Eye Knight Cuirass,TRUE,FALSE,1
Rogue's Clothes,FALSE,FALSE,1
Saint's Robes,FALSE,FALSE,1
Shaman's Clothes,FALSE,FALSE,1
Venerable Sage's Robe,FALSE,FALSE,1
Wizard's Clothes,FALSE,FALSE,1
Blue-Eye Knight Cuirass,FALSE,FALSE,1
Burrower Armor,FALSE,FALSE,1
Official's Clothes,FALSE,FALSE,1
Imperial Spy Clothes,FALSE,FALSE,1
Penetrator's Cuirass,FALSE,FALSE,1
Ancient King's Gauntlets,FALSE,FALSE,1
Barbarian Armbands,FALSE,FALSE,1
Binded Gloves,FALSE,FALSE,1
Black Gloves ,FALSE,FALSE,1
Boletarian Royality Armbands,TRUE,FALSE,1
Brushwood Gauntlets,FALSE,FALSE,1
Chain Gloves,FALSE,FALSE,1
Dark Silver Gauntlets,FALSE,FALSE,1
Dull Gold Gauntlets,FALSE,FALSE,1
Fluted Gauntlets,FALSE,FALSE,1
Gloom Gauntlets,FALSE,FALSE,1
Imperial Spy Gloves,FALSE,FALSE,1
Leather Gloves,FALSE,FALSE,1
Mirdan Gauntlets,FALSE,FALSE,1
Old Raggedy Gloves,FALSE,FALSE,1
Plate Gauntlets,FALSE,FALSE,1
Rogues's Gloves,FALSE,FALSE,1
Saint's Gloves,FALSE,FALSE,1
Shaman's Armband,FALSE,FALSE,1
Silver Bracelet,FALSE,FALSE,1
Venerable Sage's Gloves,FALSE,FALSE,1
Wizard's Gloves,FALSE,FALSE,1
Red-Eye Knight Gauntlets,TRUE,FALSE,1
Official's Gloves,FALSE,FALSE,1
Blue-Eye Knight Gauntlets,FALSE,FALSE,1
Penetrator's Gauntlets,FALSE,FALSE,1
Ancient King's Greaves,FALSE,FALSE,1
Barbarian Leggings,FALSE,FALSE,1
Binded Boots,FALSE,FALSE,1
Black Boots,FALSE,FALSE,1
Boletarian Royality Leggings,TRUE,FALSE,1
Brushwood Leggings,FALSE,FALSE,1
Dark Silver Greaves,FALSE,FALSE,1
Dull Gold Leggings,FALSE,FALSE,1
Fluted Greaves,FALSE,FALSE,1
Gloom Greaves,FALSE,FALSE,1
Hard Leather Boots,FALSE,FALSE,1
Imperial Spy Gloves,FALSE,FALSE,1
Leather Boots,FALSE,FALSE,1
Mirdan Leggings,FALSE,FALSE,1
Old Ragged Boots,FALSE,FALSE,1
Plate Greaves,FALSE,FALSE,1
Rogue's Boots,FALSE,FALSE,1
Saint's Boots,FALSE,FALSE,1
Shaman's Tabi,FALSE,FALSE,1
Venerable Sage's Boots,FALSE,FALSE,1
Wizard's Shoes,TRUE,FALSE,1
Red-Eyey Knight Greaves,FALSE,FALSE,1
Official's Leggings,FALSE,FALSE,1
Burrowe Boots,FALSE,FALSE,1
Blue-Eye Knight Greaves,FALSE,FALSE,1
Penetrator's Greaves,FALSE,FALSE,1
