NAME,DLC,COVENANT
Dagger,0,0
Parrying Dagger,0,0
Mail Breaker,0,0
Bandit's Knife,0,0
Rottern Ghru Dagger,0,0
Corvian Greatknife,0,0
Handmaid's Dagger,0,0
Scholar's Candlestick,0,0
Tailbone Short Sword,0,0
Brigand Twindaggers,0,0
Harpe,0,0
Aquamarine Dagger,1,0
Murky Hand Scythe,1,0
Shortsword,0,0
Long Sword,0,0
Broadsword,0,0
Broken Straight Sword,0,0
Astora Straight Sword,0,0
Lothic Knight Sword,0,0
Barbed Straight Sword,0,0
Dark Sword,0,0
Cleric's Candlestick,0,0
Irithyll Straight Sword,0,0
Anri's Straight Sword,0,0
Sunlight Straight Sword,0,0
Morion Blade,0,0
Lothic's Holy Sword,0,0
Gotthard Twinswords,0,0
Valorheart,1,0
Ringed Knight Straight Sword,1,0
Bastard Sword,0,0
Claymore,0,0
Hollowslayer Greatsword,0,0
Firelink Greatsword,0,0
Black Knight Sword,0,0
Flamberge,0,0
Executioner's Greatsword,0,0
Wolf Knight's Greatsword,0,0
Wolnir's Holy Sword,0,0
Greatsword of Judgment,0,0
Storm Ruler,0,0
Moonlight Greatsword,0,0
Twin Princes' Greatsword,0,0
Drakeblood Greatsword,0,0
Onyx Blade,1,0
Gael's Greatsword,1,0
Zweihander,0,0
Greatsword,0,0
Astora Greatsword,0,0
Farron Greatsword,0,0
Fume Ultra Greatsword,0,0
Profaned Greatsword,0,0
Cathedral Knight Greatsword,0,0
Black Knight Greatsword,0,0
Lorian's Greatsword,0,0
Lothric Knight Greatsword,0,0
Ringed Knight Paired Greatswords,1,0
Crescent Moon Sword,0,0
Scimitar,0,0
Pontiff Knight Curved Sword,0,0
Falchion,0,0
Sellsword Twinblades,0,0
Warden Twinblades,0,0
Shotel,0,0
Painting Guardian's Curved Sword,0,0
Dancer's Echanted Swords,0,0
Storm Curved Sword,0,0
Carthus Curved Sword,0,0
Carthus Shotel,0,0
Rotten Ghru Curved Sword,0,0
Follower Sabre,1,0
Demon's Scar,1,0
Murakumo,0,0
Exile Greatsword,0,0
Old Wolf Curved Sword,0,1
Carthus Curved Greatsword,0,0
Harald Curved Greatsword,1,0
Darkdrift,0,0
Uchigatana,0,0
Washing Pole,0,0
Onikiri and Ubadachi,0,0
Black Blade,0,0
Chaos Blade,0,0
Bloodlust,0,1
Frayed Blade,1,0
Estoc,0,0
Rapier,0,0
Richard's Rapier,0,0
Crystal Sage's Rapier,0,0
Irithyll Rapier,0,0
Crow Quills,1,0
Battle Axe,0,0
Hand Axe,0,0
Thrall Axe,0,0
Brigand Axe,0,0
Dargonslayer's Axe,0,0
Butcher Knife,0,0
Winged Knight Twinaxes,0,0
Eleonora,0,0
Man Serpent Hatchet,0,0
Millwood Battle Axe,1,0
Greataxe,0,0
Dragonslayer Greataxe,0,0
Demon's Greataxe,0,0
Great Machete,0,0
Yhorm's Great Machete,0,0
Black Knight Greataxe,0,0
Earth Seeker,1,0
Club,0,0
Drang Hammers,0,0
Mace,0,0
Morning Star,0,0
Reinforced Club,0,0
Heysel Pick,0,0
Warpick,0,0
Blacksmith Hammer,0,0
Gargoyle Flame Hammer,0,0
Great Mace,0,0
Large Club,0,0
Vordt's Great Hammer,0,0
Morne's Great Hammer,0,0
Great Wooden Hammer,0,0
Great Club,0,0
Smough's Great Hammer,0,0
Old King's Great Hammer,0,0
Pickaxe,0,0
Dragon Tooth Spiked Mace,0,0
Quakestone Hammer,1,0
Ledo's Great Hammer,1,0
Caestus,0,0
Demon's Fist,0,0
Dark Hand,0,0
Claw,0,0
Manikin Claws,0,0
Crow Talons,0,0
Arstor's Spear,0,0
Drang Twinspears,0,0
Gargoyle Flame Spear,0,0
Spear,0,0
Tailbone Spear,0,0
Pike,0,0
Winged Spear,0,0
Four-Pronged Plow,0,0
Saint Bident,0,0
Rottern Ghru Spear,0,0
Partizan,0,0
Yorshka's Spear,0,0
Dragonslayer Spear,0,0
Dragonslayer Swordspear,0,0
Golden Ritual Spear,0,0
Soldering Iron,0,0
Lothric Knight Long Spear,0,0
Greatlance,0,0
Follower Javelin,1,0
Lothric War Banner,1,0
Ringed Knight Spearr,1,0
Halberd,0,0
Lucerne,0,0
Winged Knight Halberd,0,0
Red Hilted Halberd,0,0
Glaive,0,0
Crescent Axe,0,0
Gundyr's Halberd,0,0
Black Knight Glaive,0,0
immolation Tinder,0,0
Splitleaf Greatsword,1,0
Crucifix of the Mad King,1,0
Great Scythe,0,0
Pontiff Knight Great Scythe,0,0
Great Corvian Scythe,0,0
Friede's Great Scythe,1,0
Whip,0,0
Notched Whip,0,0
Witch's Locks,0,0
Spotted Whip,0,0
Rose of Ariandel,1,0
Black Bow of Pharis,0,0
longbow,0,0
Short Bow,0,0
Dragonrider Bow,0,0
Composite Bow,0,0
Darkmoon Longbow,0,0
White Birch Bow,1,0
Onislayer Greatbow,0,0
Dragonslayer Greatbow,0,0
Millwood Greatbow,1,0
Light Crossbow,0,0
Knight's Crossbow,0,0
Arbalest,0,0
Sniper Crossbow,0,0
Avelyn,0,0
Heavy Crossbow,0,0
Repeating Crossbow,1,0
Sorcerer's Staff,0,0
Heretic's Staff,0,0
Witchtree Branch,0,0
Sage's Crystal Staff,0,0
Izalith Staff,0,0
Court Sorcerer's Staff,0,0
Man-Grub's Staff,0,1
Storyteller's Staff,0,0
Mendicant's Staff,0,0
Archdeacon's Great Staff,0,1
Murky Longstaff,1,0
Preacher's Right Arm,1,0
Pyromancy Flame,0,0
Pyromancer's Parting Flame,1,0
Talisman,0,0
Saint's Tailsman,0,0
Sunlight Talisman,0,0
Canvas Talisman,0,0
White Hair Talisman,0,0
Sunless Talisman,0,0
Cleric's Sacred Chime,0,0
Priest's Chime,0,0
Crystal Chime,0,0
Caitha's Chime,0,0
Saint-tree Bellvine,0,0
Yorshka's Chime,0,0
Sacred Chime of Filianore,1,0
Buckler,0,0
Red and White Shield,0,0
Elkhorn Round Shield,0,0
Target Shield,0,0
Iron Round Shield,0,0
Warrior's Round Shield,0,0
Hawkwood's Shield,0,0
Caduceus Shield,0,0
Crimson Parma,0,0
Leather Shield,0,0
Sacred Bloom Shield,0,0
Small Leather Shield,0,0
